Family;Species;Elevations;;;;Total
;;3261;3402;3537;3625;
Aquifoliaceae;Ilex sessiliflora;0;5;0;0;5
Araliaceae;Oreopanax ruizii;0;0;0;4;4
Asteraceae;Gynoxys pillahuatensis;0;0;0;6;6
Asteraceae;Gynoxys sp1;0;0;0;1;1
Brunelliaceae;Brunellia inermis;2;0;0;0;2
Campanulaceae;Siphocampylus vatkeanus;0;0;0;3;3
Chloranthaceae;Hedyosmum maximum;0;0;13;0;13
Clethraceae;Clethra WRF584;0;1;1;0;2
Clethraceae;Clethra alata;0;1;0;0;1
Clethraceae;Clethra cuneata;0;4;1;0;5
Clusiaceae;Clusia alata;6;6;0;0;12
Cunoniaceae;Weinmannia auriculata;0;0;1;0;1
Cunoniaceae;Weinmannia bangii;11;0;0;0;11
Cunoniaceae;Weinmannia cochensis;0;14;0;0;14
Cunoniaceae;Weinmannia fagaroides;0;0;5;8;13
Cyatheaceae;Cyathea austropallescens;2;0;0;0;2
Cyatheaceae;Cyathea ruiziana;1;0;0;0;1
Elaeocarpaceae;Vallea stipularis;0;0;0;1;1
Gentianaceae;Macrocarpaea maguirei;0;1;0;0;1
Lamiaceae;Aegiphila saltensis;1;0;0;0;1
Lauraceae;Ocotea WFR576;2;0;0;0;2
Lauraceae;Ocotea WFR577;1;0;0;0;1
Lauraceae;Ocotea WFR578;1;0;0;0;1
Lauraceae;Ocotea WFR579;1;0;0;0;1
Lauraceae;Persea ferruginea;0;2;0;0;2
Melastomataceae;MIconia setulosa;0;6;0;0;6
Melastomataceae;Miconia AMM15963;0;0;6;1;7
Melastomataceae;Miconia WFR614;1;0;0;0;1
Melastomataceae;Miconia WFR615;1;0;0;0;1
Melastomataceae;Miconia WFR616;1;0;0;0;1
Melastomataceae;Miconia WFR617;1;0;0;0;1
Melastomataceae;Miconia WFR632;13;2;0;0;15
Melastomataceae;Miconia WFR633;6;0;0;0;6
Melastomataceae;Miconia WFR634;5;0;0;0;5
Melastomataceae;Miconia WFR635;4;0;0;0;4
Melastomataceae;Miconia WFR636;3;0;0;0;3
Melastomataceae;Miconia WFR637;1;0;0;0;1
Melastomataceae;Miconia alpina;0;0;2;4;6
Melastomataceae;Miconia brevistylis;1;0;0;0;1
Melastomataceae;Miconia dispar;1;0;0;0;1
Melastomataceae;Miconia nigricans ;1;0;0;0;1
Melastomataceae;Miconia setulosa;0;3;0;0;3
Melastomataceae;Axinaea pennellii;6;0;0;0;6
Primulaceae;Myrsine andina;2;0;0;0;2
Primulaceae;Myrsine coriacea;1;0;0;0;1
Rosaceae;Polylepis pauta;0;0;4;0;4
Rosaceae;Prunus huantensis;1;0;0;0;1
Solanaceae;Saracha punctata;0;0;1;4;5
Solanaceae;Sessea dependens;0;0;2;0;2
Symplocaceae;Symplocos baehnii;0;0;11;9;20
Symplocaceae;Symplocos psiloclada;0;1;0;0;1
Symplocaceae;Symplocos quitensis;0;2;6;0;8
